EmpID, ProjectID, DateFrom, DateTo
143, 12, 2013-11-01, 2014-01-05
218, 10, 2012-05-16, NULL
222, 10, 2009-01-01, 2011-04-27
111, 12, 2010-02-07, 2015-02-11
123, 11, 2012-03-01, NULL
130, 12, 2016-05-10, NULL
218, 11, 2011-10-05, 2013-02-22
222, 12, 2013-12-01, 2014-01-01
111, 9, 2009-01-01, 2011-04-27
123, 12, 2005-08-18, 2010-03-01
143, 9, 2010-01-01, 2010-04-27
218, 9, 2014-03-03, 2015-04-11
111, 8, 2017-08-22, 2019-05-11
123, 8, 2011-11-11, NULL
143, 8, 2013-08-13, NULL
200, 10, 2014-05-19, 2017-06-29
